Name,Rank
Beanie Sigel,200
Bran Nubians,199
Jose Feliciano,198
Beach Boys,197
Ramones,196
John Mayer,195
UB40,194
Nikki Minaj,193
Boys to Men,192
Patti Smith,191
Radiohead,190
kinks,189
Yardbirds,188
James Taylor,187
Heart,186
Lenny Kravitz,185
Boy George,184
The Byrds,183
Missy Elliott,182
The New Order,181
INXS,180
Barbara Streisand,179
Neil Diamond,178
Biz Markie,177
Terrence Trent D'arby,176
Kendrick Lamar,175
Adele,174
Billy Idol,173
En Vogue,172
The Smiths,171
Celine Dion,170
Fabolous,169
TLC,168
Red Hot Chili Peppers,167
George Michael,166
Roy Orbison,165
Bobby Womack,164
Everly Brothers,163
Rod Stewart,162
Jackie Brenston,161
Bobby Caldwell,160
booker t and the mgs,159
Tom Browne,158
neil Diamond,157
Bruce Springsteen,156
Janet Jackson,155
nine inch nails,154
Black Sabbath,153
lil wayne,152
Green Day,151
Buddy Holly,150
Johnny Cash,149
Kraftwerk,148
Malcolm Mclaren and World Famous Supreme Team,147
SOS Band,146
Miles Davis,145
Cream,144
Eurythmics,143
Oasis,142
Jodeci / KC and JoJo,141
Kiss,140
Busta Rhymes,139
Depeche Mode,138
Stone Temple Pilots,137
the Doors,136
Credence Clearwater Revival,135
beastie boys,134
Beres Hammond,133
Slick Rick and Dougie Fresh,132
Grand Master Flash and the Furious Five,131
Lynard Skynrd,130
Selina,129
Talking Heads,128
Aaron Neville,127
Grateful Dead,126
Van Morrison,125
Mary J. Blige,124
Dr Buzzard's Original Savannah Band,123
Alanis Morissette,122
B.B. King,121
Beethoven,120
Mozart,119
Elvis Costello,118
Cher and Sonny and Cher,117
The Eagles,116
50 Cent and G-Unit,115
the Fugees,114
Elvis Presley,113
Journey,112
Blondie,111
Manhattans,110
the Shirelles,109
Simon and Garfunkel,108
Kool and the Gang,107
the Dells,106
Earth Wind and Fire,105
Barry White,104
Diana Ross and the Supremes,103
Donna Summer,102
Daft Punk,101
Donald Byrd,100
Hall and Oates,99
Eryka Badu,98
R.E.M.,97
Mariah Carey,96
Bee Gees,95
The Who,94
AC/DC,93
LL Cool J,92
Metallica,91
Enya,90
Aerosmith,89
Guns n roses,88
Tom Petty,87
Ice Cube,86
Pink Floyd,85
Pat Benatar,84
Mark Antony,83
Alicia Keys,82
Outkast,81
Mos Def / Yasim Bey,80
KRS-One,79
Tribe Called Quest,78
Mobb Deep,77
Eminem,76
the allman brothers,75
Gladys Knight,74
Janis Joplin,73
Patti Labelle,72
Sly and the Family Stone,71
The Drifters,70
Eric Clapton,69
Dire Straits,68
Bon Jovi,67
Pearl Jam,66
David Bowie,65
Madonna,64
Smokey Robinson,63
John Lennon,62
Elton John,61
Phil Collins Genesis,60
Usher,59
The Clash,58
Lauryn Hill,57
De La Soul,56
Big Daddy Kane,55
Tupac,54
Biggie,53
Curtis Mayfield,52
Jay Z,51
Frank Sinatra,50
Nas,49
Anita Baker,48
Kanye West,47
Queen,46
U2,45
Fats Dominoe,44
Bo Diddley,43
Carlos Santana,42
Sade,41
Whitney Houston,40
The Police,39
Jackie Wilson,38
Dr Dre,37
Four Tops,36
Isley Brothers,35
Tina Turner,34
Al Green,33
Etta James,32
Temptations,31
naughty by nature,30
Led Zeppelin,29
Eric B and Rakim,28
The Beatles,27
Little Richard,26
Howlin Wolf,25
Muddy Waters,24
Nina Simone,23
Sam Cooke,22
Public Enemy,21
Run DMC,20
Nirvana,19
Wu-Tang total collaborative,18
Lionel Ritchie / Commodore,17
Bob Dylan,16
Parliament Funkadelics,15
Otis Redding,14
Aretha Franklin,13
Marvin Gaye,12
O'Jays,11
Rolling Stones,10
Teddy Pendergrass / Harold Melvin and the Bluenotes,9
Jimi Hendrix,8
Ray Charles,7
Prince,6
Bob Marley,5
Stevie Wonder,4
Michael Jackson,3
Chuck Berry,2
James Brown,1
